log[sin(theta/2)],log(rate)
-0.9605,-1.9841
-1.0729,-2.0307
-1.2016,-1.8971
-1.3516,-1.0739
-1.5304,-0.9373
-1.7507,1.5732
-2.0362,3.7743
-2.4401,4.7412
-3.1323,4.8283
-3.1323,4.8336
-2.4401,4.7973
-2.0362,4.798
-1.7507,4.8004
-1.5304,4.1847
-1.3516,2.1046
-1.2016,-0.9025
-1.0729,-1.6305
-0.9605,-1.759
-0.8613,-1.8563
