1- cos(theta),1/(E_gamma')
0,1.5205
0.0341,1.5697
0.0341,1.5588
0.0603,1.6106
0.0603,1.5986
0.0937,1.6872
0.0937,1.6865
0.134,1.7268
0.134,1.7361
0.1808,1.8723
0.1808,1.8795
0.234,2.0141
0.234,1.9846
0.3572,2.2243
0.3572,2.218
0.5,2.5026
0.5,2.5053
0.658,2.8167
0.658,2.8494
0.8264,3.2034
0.8264,3.2265
