w [rad/s],delta_s
3141.592654,0.000028
3141.592654,0.000029
3769.911184,0.000033
3769.911184,0.00003
4398.229715,0.000038
4398.229715,0.000035
5026.548246,0.000044
5026.548246,0.000041
5654.866776,0.000048
5654.866776,0.00005
6283.185307,0.000054
6283.185307,0.00005
6911.503838,0.000067
6911.503838,0.000062
7539.822369,0.00006
7539.822369,0.000065
8168.140899,0.000075
8168.140899,0.000073
